#,Équipe,Pts,J,DIF,G,N,D,BP,BC
1,Atlético,90,38,51,28,6,4,77,26
2,Barcelone,87,38,67,27,6,5,100,33
3,Real Madrid,87,38,66,27,6,5,104,38
4,Bilbao,70,38,27,20,10,8,66,39
5,Séville,63,38,17,18,9,11,69,52
6,Villarreal,59,38,16,17,8,13,60,44
7,Real Sociedad,59,38,7,16,11,11,62,55
8,Valence,49,38,-2,13,10,15,51,53
9,Celta Vigo,49,38,-5,14,7,17,49,54
10,Levante,48,38,-8,12,12,14,35,43
11,Malaga,45,38,-7,12,9,17,39,46
12,Vallecano,43,38,-34,13,4,21,46,80
13,Getafe,42,38,-19,11,9,18,35,54
14,Espanyol,42,38,-10,11,9,18,41,51
15,Grenade,41,38,-24,12,5,21,32,56
16,Elche,40,38,-20,9,13,16,30,50
17,Almería,40,38,-28,11,7,20,43,71
18,Osasuna,39,38,-30,10,9,19,32,62
19,Valladolid,36,38,-22,7,15,16,38,60
20,Betis,25,38,-42,6,7,25,36,78
